timestamp,open,high,low,close,volume
2023-01-23,55.0000,56.6900,53.2100,55.9600,17736412
2023-01-20,50.3800,55.1900,48.8000,55.1600,15433938
2023-01-19,49.2101,51.0000,47.9200,49.4200,14073270
2023-01-18,54.2200,57.3292,50.0000,50.2100,24905714
2023-01-17,53.3100,54.9800,50.7000,54.1400,23521226
2023-01-13,46.2400,50.6300,45.3800,49.9800,22437767
2023-01-12,45.1450,47.6500,41.6700,47.5500,20514692
2023-01-11,41.9600,43.8400,40.6304,43.7900,16152705
2023-01-10,37.7600,43.2900,37.7400,43.2300,24496650
2023-01-09,35.1900,39.3800,34.7200,38.2700,18904120
2023-01-06,33.6700,33.7500,31.5500,33.2600,15527836
2023-01-05,34.7100,35.2600,32.7500,33.5300,16934523
2023-01-04,34.5900,38.5000,34.5400,37.7000,17737392
2023-01-03,36.4900,36.9300,33.3709,33.6000,8514288
2022-12-30,33.9620,35.8700,33.6300,35.3900,8397944
2022-12-29,33.4550,35.3300,33.3700,34.7800,7675479
2022-12-28,32.5800,33.4800,31.8300,32.5300,7839732
2022-12-27,34.5000,34.5600,32.4400,32.6500,10940800
2022-12-23,34.7700,35.9800,33.6700,35.4900,8222704
2022-12-22,34.9300,35.3465,32.9500,34.5900,10335668
2022-12-21,35.3100,36.1000,34.7963,35.1500,6998619
2022-12-20,34.7500,36.8580,34.3500,34.9700,9833235
2022-12-19,35.9700,36.6800,34.5100,35.1700,11168297
2022-12-16,37.4000,38.0100,34.7100,36.6000,18247429
2022-12-15,38.9500,39.6000,37.4400,37.9800,12013423
2022-12-14,39.4100,41.9000,38.8200,40.1900,16117596
2022-12-13,46.0100,46.3300,38.5000,38.6900,20558271
2022-12-12,39.9800,42.6500,39.6500,42.6000,9962641
2022-12-09,41.6000,42.3200,40.1500,40.2400,10030234
2022-12-08,41.5600,43.8999,40.3000,42.8100,9361800
2022-12-07,41.8800,43.2000,40.5500,41.2600,10824527
2022-12-06,45.6001,46.6500,41.7300,42.4100,12156145
2022-12-05,47.9800,49.8500,45.6300,46.0000,11228347
2022-12-02,43.9700,47.7000,43.7300,47.6700,10372090
2022-12-01,45.8200,47.1900,44.4400,45.2700,11579372
2022-11-30,43.7100,45.8799,41.5100,45.7300,15562746
2022-11-29,42.9100,44.6500,42.7000,43.1100,9090624
2022-11-28,43.3000,44.8990,42.0200,42.5100,10518516
2022-11-25,44.7600,45.2365,43.7000,44.2800,6451508
2022-11-23,43.8500,46.1700,42.2057,45.5700,14665807
2022-11-22,42.3500,44.4000,41.6100,43.3900,20783082
2022-11-21,43.6000,44.6439,40.6100,41.2300,22381981
2022-11-18,48.8000,49.0000,44.3100,45.2600,20287264
2022-11-17,46.6700,49.9700,45.1800,48.7900,17974650
2022-11-16,52.8300,54.0300,48.0000,48.8300,24054683
2022-11-15,55.0000,58.0000,54.6000,55.5300,14805294
2022-11-14,55.6950,55.7400,52.6000,53.2200,16150903
2022-11-11,47.5000,58.2900,46.2500,57.4600,30584528
2022-11-10,51.0400,53.9300,49.0200,50.9200,30695388
2022-11-09,47.0900,49.6899,44.6200,45.9800,42274174
2022-11-08,54.5000,58.4499,47.6900,50.8300,61868168
2022-11-07,60.0000,60.9900,54.2200,56.9700,13659109
2022-11-04,60.4000,63.4300,56.4000,58.8200,18901356
2022-11-03,59.4000,61.8800,55.7500,55.8000,14238794
2022-11-02,63.3950,66.2100,60.5500,60.7100,12700860
2022-11-01,69.0000,69.7100,63.1300,63.2900,8238178
2022-10-31,72.3700,74.6500,66.1450,66.2500,10648406
2022-10-28,72.0000,73.7200,69.3500,72.0700,7372115
2022-10-27,74.5100,75.6500,71.5100,72.4700,5967614
2022-10-26,75.2800,78.2900,73.1001,73.8100,14148193
2022-10-25,67.0100,75.4000,66.9600,75.0500,14446936
2022-10-24,67.4000,68.1500,63.6800,66.3900,8111715
2022-10-21,63.4000,66.6300,61.7000,66.3800,9156365
2022-10-20,63.1400,67.4300,62.7000,63.5900,8938669
2022-10-19,64.8200,66.8900,62.5518,63.1900,8601141
2022-10-18,72.9000,73.9000,65.3000,66.2100,13874738
2022-10-17,66.4800,70.9500,66.3400,69.1700,11263274
2022-10-14,71.8500,73.7900,63.3800,63.5900,13711603
2022-10-13,63.6600,69.6300,61.0600,69.2600,18341964
2022-10-12,69.7400,71.8500,67.8200,69.9500,8998949
2022-10-11,67.6100,72.6900,65.0250,70.1600,17705645
2022-10-10,67.5800,69.2600,65.4301,67.0400,7713993
2022-10-07,70.8500,71.1000,65.5000,67.0000,11427931
2022-10-06,73.0700,76.2774,71.3405,73.9100,11103663
2022-10-05,71.8000,73.4782,69.2800,72.9700,9222677
2022-10-04,69.0900,74.6300,69.0800,74.5000,11881433
2022-10-03,64.9500,67.8600,61.9200,65.9500,10949180
2022-09-30,61.2500,67.5900,61.0737,64.4900,10210275
2022-09-29,64.6200,65.0300,60.2600,61.9400,11508191
2022-09-28,62.8000,67.7400,62.7600,67.3100,8482667
2022-09-27,65.2900,67.5500,61.8842,63.0500,11860469
2022-09-26,62.9800,66.3300,62.1800,62.2800,9562579
2022-09-23,61.5600,63.1500,59.4347,61.8800,10932912
2022-09-22,67.4000,68.9800,62.3100,62.9400,11084877
2022-09-21,68.9000,72.2400,67.4301,67.6400,12344591
2022-09-20,68.0900,69.8000,66.1700,67.9400,7974478
2022-09-19,71.8800,72.5400,67.0000,69.9300,13135272
2022-09-16,75.1500,76.3699,73.5982,74.0000,17088966
2022-09-15,77.6300,82.0000,76.6250,77.2300,10950143
2022-09-14,75.3000,79.2000,74.1100,78.7000,10840704
2022-09-13,75.3400,78.0900,74.3500,75.2500,11235328
2022-09-12,82.6000,84.5800,80.6000,82.5500,12554936
2022-09-09,78.2000,81.0400,75.1500,80.8700,15393378
2022-09-08,66.3600,73.3300,65.5000,73.0800,9241494
2022-09-07,62.0000,68.7700,61.8300,68.2500,8408351
2022-09-06,65.5600,66.8800,62.6000,62.7800,7442907
2022-09-02,67.7100,68.1400,63.8200,65.2600,6392835
2022-09-01,65.5500,65.9900,61.9100,65.5300,8046563
2022-08-31,68.7000,70.3800,66.6581,66.8000,6707941
2022-08-30,67.9650,69.4500,64.6300,67.0300,8293471
2022-08-29,65.5100,69.4000,65.4600,66.3400,7903271
2022-08-26,71.7100,71.7999,65.3419,66.7400,9797324
2022-08-25,71.8400,72.4500,68.5200,71.3700,8563518
2022-08-24,71.8800,74.3200,70.7100,71.4800,6675538
2022-08-23,71.9500,76.4100,70.6000,71.1800,9598286
2022-08-22,70.9100,74.9400,70.2900,71.4700,9082357
2022-08-19,76.0000,78.2513,74.0100,74.0600,13727856
2022-08-18,86.3300,86.3600,81.4200,83.4700,7923316
2022-08-17,87.5050,88.6400,84.7704,85.4400,10697919
2022-08-16,90.5500,95.5000,84.2397,90.3900,17055022
2022-08-15,89.1100,93.6799,88.5900,91.9700,11001934
2022-08-12,85.2300,92.4800,83.2899,90.4900,13755196
2022-08-11,97.2500,98.7000,82.3100,84.0000,23247255
2022-08-10,89.9800,95.0000,88.0000,94.1400,23818204
2022-08-09,93.8900,93.8900,85.6000,87.6800,17411400
2022-08-08,97.8400,103.5500,93.8096,98.0200,18878661
2022-08-05,86.5800,98.8700,86.5200,93.0500,24865731
2022-08-04,106.1000,116.3000,86.7850,88.9000,54342800
2022-08-03,69.0500,82.2500,67.6100,80.8100,24784175
2022-08-02,60.9100,69.5900,60.8000,67.2300,12142089
2022-08-01,61.1900,63.6200,59.4200,62.7000,7361252
2022-07-29,60.1400,64.2299,59.7700,62.9600,9113752
2022-07-28,58.2350,62.9500,55.5900,62.2500,13674813
2022-07-27,54.8700,60.6100,53.1200,58.8300,18230196
2022-07-26,61.6900,62.8900,52.6300,52.9300,26875839
2022-07-25,68.9300,69.9797,66.3000,67.0700,8797556
2022-07-22,76.2000,76.5719,69.0900,70.8200,12013281
2022-07-21,71.0000,76.6200,70.2800,73.9800,17301194
2022-07-20,67.0800,79.0000,67.0500,75.2700,34031955
2022-07-19,60.8600,65.9800,57.7800,65.8300,19210643
2022-07-18,56.7100,63.3800,56.6900,58.6700,21226156
2022-07-15,54.3500,56.5500,51.9300,53.7900,10714321
2022-07-14,52.3350,54.7100,50.3400,53.4200,9682070
2022-07-13,51.6800,54.7300,50.4001,53.1000,9439934
2022-07-12,53.7000,56.1100,52.6200,54.2400,8466218
2022-07-11,57.5350,58.4300,53.3000,53.8800,10750821
2022-07-08,55.6100,63.7000,54.5100,60.2900,17950500
2022-07-07,52.1400,57.6500,52.1400,57.4600,12318519
2022-07-06,54.1700,56.2741,51.4000,51.7100,11881899
2022-07-05,48.1250,55.8200,45.9500,55.4100,13113668
2022-07-01,47.9900,50.1601,47.5200,49.0400,8556521
2022-06-30,48.2000,48.4000,44.1500,47.0200,12934359
2022-06-29,50.5000,51.4600,48.5900,49.7500,9776155
2022-06-28,56.2600,57.2500,50.3310,51.1800,10277178
2022-06-27,59.5600,60.4500,55.0200,55.9600,15201607
2022-06-24,60.0000,64.0900,59.3256,62.7100,24381357
2022-06-23,53.6000,59.6200,51.8300,58.8800,15840689
2022-06-22,53.8700,56.7500,51.5650,51.9100,18947676
2022-06-21,54.2000,60.7500,54.1000,57.4900,16916242
2022-06-17,50.1200,52.8000,49.2800,51.2200,11771005
2022-06-16,52.5800,54.4299,50.0800,51.0500,13157743
2022-06-15,50.9400,56.6600,50.4500,55.0100,16340087
2022-06-14,52.5000,53.2900,48.8100,51.5800,17430264
2022-06-13,46.1800,54.3000,46.0001,52.0100,28961424
2022-06-10,60.0000,61.6290,57.7700,58.7100,11001124
2022-06-09,69.0800,69.3800,63.1200,63.7600,9349323
2022-06-08,69.2300,72.9800,68.3001,69.2000,6276638
2022-06-07,67.3100,69.9700,64.3600,69.5700,8485074
2022-06-06,70.7600,74.1100,68.4300,70.6700,9352377
2022-06-03,69.3900,70.5000,65.6100,66.6900,10213584
2022-06-02,67.8000,74.4800,67.2800,73.8200,8643601
2022-06-01,77.5000,77.8000,67.8000,68.6300,14608492
2022-05-31,80.0000,83.3200,75.6000,78.1000,22623167
2022-05-27,69.8400,77.1800,69.8400,75.3200,14112792
2022-05-26,63.9700,71.1700,62.3000,69.8700,12000226
2022-05-25,61.0700,68.5000,60.9900,67.1700,11061966
2022-05-24,64.5600,64.5600,59.1200,61.3600,10714877
2022-05-23,65.5400,68.6500,62.3500,66.1000,12055671
2022-05-20,69.3700,70.7400,62.0500,66.1500,15166300
2022-05-19,65.0000,70.9900,63.6100,67.4200,15410061
2022-05-18,67.6900,71.8100,61.9400,63.0300,17422703
2022-05-17,66.2000,70.5000,63.1110,70.0000,15868005
2022-05-16,68.0600,68.0800,60.5100,61.7000,18685889
2022-05-13,69.2600,74.2500,65.5000,67.8700,38264813
2022-05-12,48.5400,60.3000,40.8300,58.5000,58789009
2022-05-11,54.8450,61.2800,50.1500,53.7200,67080210
2022-05-10,87.0000,89.3800,70.1900,72.9900,31780044
2022-05-09,96.0000,96.4300,81.7800,83.5100,16845410
2022-05-06,112.5000,112.5000,100.2500,103.7400,9026454
2022-05-05,125.0000,125.6400,112.0500,114.2500,7324390
2022-05-04,124.0000,132.8100,116.2000,130.1500,6460331
2022-05-03,120.2300,129.4000,119.9700,123.5600,5053170
2022-05-02,113.0700,122.2900,111.8000,121.3400,6229416
2022-04-29,121.1000,129.0900,112.1400,112.7100,5760916
2022-04-28,123.6900,126.3900,113.3200,122.6900,8070894
2022-04-27,125.2800,130.7100,121.9800,122.5500,4658455
2022-04-26,135.3100,136.7700,126.5150,127.1500,3636084
2022-04-25,130.0100,137.3500,129.2900,135.1400,4066524
2022-04-22,137.2900,141.1999,131.2500,131.5200,5162150
2022-04-21,151.9700,153.4400,135.3100,137.3200,6252855
2022-04-20,154.9250,154.9600,144.8500,147.1300,3440405
2022-04-19,146.0200,152.1000,144.4500,151.2700,2915996
2022-04-18,145.4500,149.5000,140.5303,145.1600,4668692
2022-04-14,153.5400,154.0000,146.8200,147.2900,4082228
2022-04-13,149.0300,156.1599,147.8000,154.7900,3740506
2022-04-12,158.0700,162.4400,149.4100,149.8500,4654416
2022-04-11,156.5700,157.5550,151.7300,153.8700,4305772
2022-04-08,165.2100,166.0000,160.1325,160.9400,2950965
2022-04-07,166.7100,169.4152,160.6750,166.1900,3093646
2022-04-06,172.8300,174.3250,165.0100,166.8400,4675252
2022-04-05,189.7600,191.3250,176.2600,177.1700,4986643
2022-04-04,187.3400,193.0700,186.1600,191.6500,2495856
2022-04-01,189.8600,191.8700,184.3850,186.9600,2975933
